# WARP endpoints: 2868 working / 3584 probed
# sorted by in-tunnel loss, then in-tunnel ping
# ENDPOINT PING = ICMP ping to the endpoint address from this host, no tunnel involved
# TUN PING / LOSS = RTT and packet loss measured inside the tunnel, to 1.1.1.1
# SEEN AS = region external services see through the tunnel
# NODE / NODE LOCATION = Cloudflare WARP edge node the tunnel landed on, and where it sits
# One /24 pool can land on several different nodes - NODE is per endpoint, not per subnet

ENDPOINT               ENDPOINT PING TUN PING  LOSS   SEEN AS    NODE   NODE LOCATION
8.39.125.199:2408      32ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.133:2408       48ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.173:2408       30ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.20:2408    32ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.94:2408    45ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.205:2408      36ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.45:2408        37ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.144:2408      32ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.81:2408        32ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.242:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.190:2408      35ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.181:2408   33ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.180:2408       32ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.187:2408      33ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.224:2408       38ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.95:2408        33ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.69:2408       48ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.190:2408      41ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.37:2408    30ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.209:2408      31ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.171:2408      34ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.38:2408       36ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.155:2408       33ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.177:2408      28ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.131:2408      38ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.174:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.5:2408     31ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.185:2408       33ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.110:2408       31ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.39:2408       28ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.21:2408       35ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.58:2408       28ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.92:2408       37ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.45:2408       42ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.177:2408       37ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.61:2408       37ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.119:2408       38ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.194:2408      39ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.88:2408    32ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.238:2408      34ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.218:2408      38ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.117:2408       33ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.157:2408       38ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.85:2408       37ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.52:2408    32ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.159:500        30ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.104:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.4:500      28ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.29:2408       33ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.156:2408      31ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.96:2408       30ms          34ms      0%     RU         HEL    Helsinki, FI
8.6.112.143:2408       45ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.169:2408      41ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.161:2408       46ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.214.110:2408      35ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.173:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.151:2408      33ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.134:2408      30ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.201:500       34ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.233:2408   35ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.238:2408       35ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.136:500       32ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.89:1701        46ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.23:500         67ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.62:500        33ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.180:2408      48ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.189:2408      39ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.37:1701        44ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.10:500        32ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.101:2408      32ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.196:2408       30ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.70:2408       29ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.102:2408      31ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.70.44:2408        29ms          34ms      0%     RU         HEL    Helsinki, FI
8.35.211.210:4500      31ms          34ms      0%     RU         HEL    Helsinki, FI
8.47.69.152:2408       31ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.117:2408      34ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.125.221:2408      32ms          34ms      0%     RU         HEL    Helsinki, FI
8.39.204.135:500       29ms          34ms      0%     RU         HEL    Helsinki, FI
8.34.146.110:500       31ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.252:2408   30ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.62:2408    37ms          34ms      0%     RU         HEL    Helsinki, FI
162.159.192.103:2408   36ms          34ms      0%     RU         HEL    Helsinki, FI
